sponsor_name,ein,city,state,ntee_code,classification,propublica_url,search_term_found,collected_at,website,email,phone,contact_person,mission_statement,annual_revenue,assets,outreach_status,email_sent,response_received,sponsorship_amount,notes,follow_up_date,priority_level,email_source,all_emails_found,estimated_emails,contact_pages_found,mission_alignment_score,mission_text,alignment_factors,pages_analyzed,grant_history,program_areas,enhanced_at,error
Ford Foundation,131684331,New York,NY,T21,,https://projects.propublica.org/nonprofits/organizations/131684331,foundation,2025-10-17 17:56:47,https://fordfoundation.org,info@fordfoundation.org,,,,,,not_contacted,no,no,,,,high,estimated,,"info@fordfoundation.org,contact@fordfoundation.org,hello@fordfoundation.org,inquiries@fordfoundation.org,development@fordfoundation.org,admin@fordfoundation.org",5.0,20.5,"investments natural resources and climate justice technology and society our news and stories dig into the newest collection of stories of change, hope and resilience from our community.","[{""category"": ""primary"", ""keywords_found"": [""accessibility""], ""category_score"": 7}, {""category"": ""disability_support"", ""keywords_found"": [""accessibility""], ""category_score"": 8}, {""category"": ""community_education"", ""keywords_found"": [""community engagement (partial: 2/2 words)""], ""category_score"": 6.0}, {""category"": ""primary"", ""keywords_found"": [""accessibility""], ""category_score"": 7}, {""category"": ""disability_support"", ""keywords_found"": [""accessibility""], ""category_score"": 8}, {""category"": ""primary"", ""keywords_found"": [""accessibility""], ""category_score"": 7}, {""category"": ""disability_support"", ""keywords_found"": [""accessibility""], ""category_score"": 8}, {""category"": ""primary"", ""keywords_found"": [""arts program (partial: 2/2 words)"", ""arts access (partial: 2/2 words)"", ""accessibility""], ""category_score"": 23.0}, {""category"": ""disability_support"", ""keywords_found"": [""accessibility""], ""category_score"": 8}]","homepage,/about,/about-us,/grants",funding to fight inequality. share: share this page on facebook facebook share this page on linkedin linkedin advancing justice starts with supporting the individuals and institutions working tirelessly to address the underlying drivers of inequality. we fund a range of organizations around the world that align with our programs,"community,accessibility,inclusion,learning,accessibility,inclusion,learning,accessibility,inclusion,learning,arts,accessibility,inclusion,learning",2025-10-22T19:30:31.500696,
Novo Foundation,470824753,Hurley,NY,T99,,https://projects.propublica.org/nonprofits/organizations/470824753,foundation,2025-10-17 17:56:47,https://novo.org,info@novo.org,,,,,,not_contacted,no,no,,,,high,estimated,,"info@novo.org,contact@novo.org,hello@novo.org,inquiries@novo.org,development@novo.org,admin@novo.org",5.0,1.75,"join the novoactivating prayer cohort join a community of committed disciples for a discovery-based journey that will encourage, empower, and bless you with practical prayer tools to help you step into your spiritual authority.","[{""category"": ""youth_development"", ""keywords_found"": [""children""], ""category_score"": 7}]","homepage,/about,/mission,/what-we-do",,"health,community,creative,health,children",2025-10-22T19:30:48.388511,
Druckenmiller Foundation,133735187,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/133735187,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high,error,,,,0.0,,,,,,2025-10-22T19:30:51.805832,'grant_history'
Rockefeller Foundation,131659629,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/131659629,foundation,2025-10-17 17:56:47,https://rockefellerfoundation.org,info@rockefellerfoundation.org,,,,,,not_contacted,no,no,,,,high,estimated,,"info@rockefellerfoundation.org,contact@rockefellerfoundation.org,hello@rockefellerfoundation.org,inquiries@rockefellerfoundation.org,development@rockefellerfoundation.org,admin@rockefellerfoundation.org",5.0,25.6,"is to ensure scientific progress advances good jobs, good food, good health, and safe communities.","[{""category"": ""primary"", ""keywords_found"": [""accessibility""], ""category_score"": 7}, {""category"": ""disability_support"", ""keywords_found"": [""accessibility""], ""category_score"": 8}, {""category"": ""youth_development"", ""keywords_found"": [""children""], ""category_score"": 7}, {""category"": ""community_education"", ""keywords_found"": [""community school (partial: 2/2 words)"", ""school partnerships (partial: 2/2 words)""], ""category_score"": 16.0}, {""category"": ""primary"", ""keywords_found"": [""accessibility""], ""category_score"": 7}, {""category"": ""disability_support"", ""keywords_found"": [""accessibility""], ""category_score"": 8}, {""category"": ""primary"", ""keywords_found"": [""accessibility""], ""category_score"": 7}, {""category"": ""disability_support"", ""keywords_found"": [""accessibility""], ""category_score"": 8}, {""category"": ""primary"", ""keywords_found"": [""accessibility""], ""category_score"": 7}, {""category"": ""disability_support"", ""keywords_found"": [""accessibility""], ""category_score"": 8}, {""category"": ""youth_development"", ""keywords_found"": [""children""], ""category_score"": 7}, {""category"": ""community_education"", ""keywords_found"": [""community school (partial: 2/2 words)"", ""public schools (partial: 2/2 words)"", ""school partnerships (partial: 2/2 words)""], ""category_score"": 23.0}, {""category"": ""primary"", ""keywords_found"": [""accessibility""], ""category_score"": 7}, {""category"": ""disability_support"", ""keywords_found"": [""accessibility""], ""category_score"": 8}]","homepage,/about-us,/what-we-do,/grants,/impact",,"health,community,children,accessibility,health,community,accessibility,health,community,accessibility,inclusive,health,community,children,accessibility,health,community,accessibility,learning",2025-10-22T19:31:23.899861,
Citi Foundation,133781879,New York,NY,T21,,https://projects.propublica.org/nonprofits/organizations/133781879,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high,error,,,,0.0,,,,,,2025-10-22T19:32:07.519099,'grant_history'
Gray Foundation,471408100,Albany,NY,T22,,https://projects.propublica.org/nonprofits/organizations/471408100,foundation,2025-10-17 17:56:47,https://gray.com,info@gray.com,,,,,,not_contacted,no,no,,,,high,estimated,,"info@gray.com,contact@gray.com,hello@gray.com,inquiries@gray.com,development@gray.com,admin@gray.com",5.0,8.333333333333334,building relationships skip to main content menu services from concept to completion - solutions for every project.,"[{""category"": ""primary"", ""keywords_found"": [""arts program (partial: 2/2 words)""], ""category_score"": 8.0}, {""category"": ""disability_support"", ""keywords_found"": [""special needs (partial: 2/2 words)""], ""category_score"": 9.0}, {""category"": ""community_education"", ""keywords_found"": [""transforming lives (partial: 2/2 words)""], ""category_score"": 8.0}]","homepage,/about,/about-us",,"arts,community",2025-10-22T19:32:32.745232,
Starr Foundation,136151545,New York,NY,T22,,https://projects.propublica.org/nonprofits/organizations/136151545,foundation,2025-10-17 17:56:47,https://starr.com,loss.history@starrcompanies.com,,,,,,not_contacted,no,no,,,,high,harvested,"loss.history@starrcompanies.com,claims@starrcompanies.com,public.relations@starrcompanies.com,marketing@starrcompanies.com",,5.0,0.8181818181818182,,"[{""category"": ""disability_support"", ""keywords_found"": [""special needs (partial: 2/2 words)""], ""category_score"": 9.0}]","homepage,/about,/about-us,/mission,/vision,/our-mission,/what-we-do,/programs,/grants,/giving,/impact",,,2025-10-22T19:33:00.322755,
Nhp Foundation,521636004,New York,NY,L200,,https://projects.propublica.org/nonprofits/organizations/521636004,foundation,2025-10-17 17:56:47,https://nhpfoundation.org,info@nhpfoundation.org,,,,,,not_contacted,no,no,,,,high,estimated,,"info@nhpfoundation.org,contact@nhpfoundation.org,hello@nhpfoundation.org,inquiries@nhpfoundation.org,development@nhpfoundation.org,admin@nhpfoundation.org",5.0,1.3636363636363635,,"[{""category"": ""primary"", ""keywords_found"": [""accessibility""], ""category_score"": 7}, {""category"": ""disability_support"", ""keywords_found"": [""accessibility""], ""category_score"": 8}]","homepage,/about,/about-us,/mission,/vision,/our-mission,/what-we-do,/programs,/grants,/giving,/impact",,accessibility,2025-10-22T19:33:15.726323,
Tiger Foundation,133555671,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/133555671,foundation,2025-10-17 17:56:47,https://tiger.com,info@tiger.com,,,,,,not_contacted,no,no,,,,high,estimated,,"info@tiger.com,contact@tiger.com,hello@tiger.com,inquiries@tiger.com,development@tiger.com,admin@tiger.com",2.0,16.0,,"[{""category"": ""primary"", ""keywords_found"": [""arts program (partial: 2/2 words)"", ""arts access (partial: 2/2 words)""], ""category_score"": 16.0}]",homepage,"support users round the clock.we work with a numberof world's top exchangestiger.compartners with binancewe actively collaborate with binance — the world’s largest crypto exchangesponsorshipbinance smart chain gamefi hackathonlearn moresponsorshipfide binance business schools super cuplearn morepartnership binance broker programlearn morehave any questions?contact usfrequently asked questionswhat is tiger.com?since 2015, tiger.com has been developing fintech products for traders of all levels: from experienced high-volume professionals to regular users. our solutions are developed by an international team of fintech enthusiasts. the company is headquartered in switzerland.our products are:tiger.com for windows  — a desktop platform that enables users to trade on financial and cryptocurrency markets.tiger.com macos — our desktop platform for macoswhat is trading platform?tiger.com trading platform is a customizable desktop workspace for trading stocks, futures, cryptocurrencies, and forex assets. the platform offers an exhaustive range of tools to satisfy the needs of beginners, advanced traders, and professionals alike. tiger.com platform features:stock, futures, options, cryptocurrency, and forex asset tradingdemo trading on live and historical databuilt-in risk management systemmultifunctional charts",arts,2025-10-22T19:33:34.791010,
Uniswap Foundation,883087770,New York,NY,R12,,https://projects.propublica.org/nonprofits/organizations/883087770,foundation,2025-10-17 17:56:47,https://uniswap.org,info@uniswap.org,,,,,,not_contacted,no,no,,,,high,estimated,,"info@uniswap.org,contact@uniswap.org,hello@uniswap.org,inquiries@uniswap.org,development@uniswap.org,admin@uniswap.org",0.0,0.0,,,"homepage,/about,/about-us,/mission,/vision,/our-mission,/what-we-do,/programs,/grants,/giving,/impact",,,2025-10-22T19:33:44.724788,
Bingle Foundation,853658614,Saratoga Spgs,NY,T20,,https://projects.propublica.org/nonprofits/organizations/853658614,foundation,2025-10-17 17:56:47,,,,,,,,not_contacted,no,no,,,,high,error,,,,0.0,,,,,,2025-10-22T19:34:07.758002,'grant_history'
